key,type,orientation,height,area,level,open_side,wind_exp,utci,neigh_dist,compactness,types touching,neighbours touching,bounding area ratio,core distance,cos(angle_in_radians),sin(angle_in_radians),edge count,longest edge length,privacy score
O1,balcony,E,3,9,1,1,4.88,25.8,37.11,16,2,2,1,12.369316686964163,0.7682212795973762,0.6401843996644795,4,3,0.03260869565217391
O2,balcony,N,3,9,1,1,3.71,25.2,34.53,16,2,2,1,5.999999934152871,0.9789804197376051,0.20395425411200077,4,3,0.021739130434782608
O3,balcony,E,3,9,1,1,4.88,25.7,40.94,16,2,2,1,6.7082037721543974,0.6823182503600115,0.7310552682428687,4,3,0.03260869565217391
O4,balcony,N,3,9,1,0,3.71,24.3,0,16,2,3,1,12.369317066741782,0.9161573349021893,0.40081883401970736,4,3,0.03804347826086957
O5,terrace,E,3,18,1,1,4.88,26.2,41.68,18,2,2,1,3.354102120041513,0.514495755427527,0.8574929257125439,4,6,1
O6,balcony,W,3,9,1,1,3.3,25.4,40.39,16,2,2,1,9.486832850935205,0.8637789008984337,0.5038710255240858,4,3,0.03260869565217391
O7,balcony,W,3,9,1,1,3.3,25.6,40.75,16,2,2,1,10.81665388930828,0.6507913734559694,0.7592566023652958,4,3,0.03260869565217391
O8,terrace,W,3,18,1,1,3.3,26.1,26.71,18,1,2,1,14.773286482045128,0.14142135623731164,0.9899494936611662,4,6,0.05434782608695652
O9,terrace,E,3,18,1,1,4.88,26.1,50.76,18,1,2,1,10.920165056040661,0.19611613513818466,0.98058067569092,4,6,0.05434782608695652
O10,balcony,N,3,9,1,1,3.71,24.3,55.68,16,1,1,1,4.242640790602642,0.9119215051751063,0.4103646773287981,4,3,1
O11,terrace,E,3,18,1,1,4.88,26.1,46.31,18,1,2,1,9.604686231587431,-0.19611613513818388,0.9805806756909202,4,6,0.05434782608695652
O12,terrace,W,3,18,1,1,3.3,26.1,52.5,18,1,2,1,12.816005630828238,0.7848827655334263,0.6196442885790207,4,6,0.05434782608695652
O13,terrace,W,3,18,1,1,3.3,26,31.64,18,1,2,1,7.499999820005449,-0.5812381937190962,0.8137334712067351,4,6,0.05434782608695652
O14,terrace,W,3,18,1,1,3.3,26.1,43.5,18,1,2,1,9.604686149318685,0.6549305384178421,0.7556890827898174,4,6,0.05434782608695652
O15,terrace,E,3,18,1,1,4.88,26.2,43.29,18,1,2,1,6.184658553772391,-0.5144957554275263,0.8574929257125443,4,6,0.05434782608695652
O16,terrace,W,3,18,1,1,3.3,26.1,34.5,18,1,2,1,6.184658426010164,0.4228854653311242,0.9061831399952653,4,6,0.05434782608695652
O17,terrace,W,3,18,1,1,3.3,25.9,28.02,18,1,2,1,7.500000074639103,-0.8436614877321074,0.5368754921931594,4,6,0.05434782608695652
O18,terrace,E,3,18,1,1,4.88,26.1,42.03,18,1,2,1,12.093386839353755,-0.7071067811865475,0.7071067811865476,4,6,0.05434782608695652
O19,terrace,W,3,18,1,1,3.3,26.1,25.5,18,1,2,1,12.093386774015078,0.06651901052377461,0.9977851578566089,4,6,0.05434782608695652
O20,balcony,N,3,9,1,0,3.71,24.3,0,16,2,3,1,12.000000065847154,-0.9161573349021892,0.40081883401970764,4,3,0.03804347826086957
O21,balcony,W,3,9,1,1,3.3,25.7,18,16,2,2,1,18.973666141493137,-0.25766265056033166,0.9662349396012465,4,3,0.043478260869565216
O22,balcony,S,3,9,1,1,3.34,24.3,22.95,16,2,2,1,6.708204086291216,-0.9863939238321437,0.16439898730535704,4,3,1
O23,balcony,W,3,9,1,1,3.3,25.7,12,16,1,2,1,24.18677308244625,-0.4705882352941169,0.882352941176471,4,3,0.03260869565217391
O24,balcony,NE,3,9,1,2,4.78,24.9,10.61,16,1,2,1,5.99999993415285,-0.9544799780350296,0.29827499313594713,4,3,0.03260869565217391
O25,balcony,S,3,9,1,1,3.34,25.6,34.27,16,1,2,1,19.209372896273525,-0.9363291775690447,0.35112344158839137,4,3,0.03260869565217391
O26,balcony,W,3,9,1,1,3.3,24.3,3,16,1,2,1,11.999999934152846,-0.8715755371245489,0.49026123963255946,4,3,1
O27,terrace,W,3,18,1,1,3.3,26.1,4.5,18,2,2,1,21.47673148606806,-0.6549305384178415,0.7556890827898178,4,6,0.043478260869565216
O28,balcony,S,3,9,1,1,3.34,25.6,28.85,16,1,2,1,15.000000209264062,-0.9789804197376051,0.20395425411200063,4,3,0.03260869565217391
O29,balcony,S,3,9,1,1,3.34,25.5,23.72,16,2,2,1,12.369317098682373,-0.999133073092352,0.04163054471217985,4,3,0.043478260869565216
O30,terrace,S,3,18,1,1,3.34,26.2,18.06,18,1,2,1,12.816005793539912,-0.9863939238321437,0.16439898730535704,4,6,0.05434782608695652
O31,balcony,W,3,9,1,1,3.3,25.7,3,16,2,2,1,21.213203400419935,-0.7682212795973754,0.6401843996644805,4,3,0.043478260869565216
O32,balcony,S,3,9,1,1,3.34,25.5,14.23,16,2,2,1,16.970562851960494,-0.9363291775690444,0.35112344158839176,4,3,0.03260869565217391
O33,balcony,W,3,9,2,1,3.3,24.9,0,16,1,1,1,3.000000036044819,0.8778955732476754,0.4788521300695397,4,3,1
O34,courtyard,SW,3,180,2,2,4.65,25.7,18.31,80,5,9,0.71,9.81898677505156,0.4472135954999592,0.8944271909999152,24,42,1
O35,balcony,W,3,9,2,1,3.3,24.9,0,16,1,1,1,3.0000002121946787,0.9486832980505137,0.31622776601683833,4,3,1
O36,balcony,W,3,9,2,1,3.3,25.8,56.3,16,1,2,1,13.4164079009996,0.7525766947068778,0.6585046078685182,4,3,0.048
O37,balcony,SE,3,9,2,2,3.22,24.3,3.35,16,1,2,1,2.9999997878052937,-0.5547001968610502,0.8320502939139629,4,3,1
O38,balcony,W,3,9,2,1,3.3,25.7,42.95,16,1,2,1,10.816653613309878,0.6507913734559685,0.7592566023652967,4,3,0.048
O39,balcony,W,3,9,2,1,3.3,25.7,43.6,16,1,2,1,6.708203778707532,0.4961389383568339,0.8682431421244592,4,3,0.048
O40,terrace,NE,3,18,2,2,4.78,24.3,16.77,18,1,2,1,4.500000212194706,-0.734803445187203,0.6782801021267079,4,6,1
O41,balcony,E,3,9,2,1,4.88,25.4,47.74,16,2,2,1,9.486833202633404,1.1714553645825241E-15,1,4,3,0.064
O42,terrace,W,3,18,2,1,3.3,25.6,19.21,18,1,2,1,7.5000000746391,-0.851658316704544,0.5240974256643346,4,6,0.08
O43,balcony,W,3,9,2,1,3.3,25.7,60.54,16,2,2,1,6.708203968500243,0.2747211278973784,0.961523947640823,4,3,0.064
O44,terrace,E,3,18,2,1,4.88,26,42.64,18,1,2,1,16.7705100517995,-0.5299989400031788,0.8479983040050887,4,6,0.08
O45,terrace,SE,3,27,2,2,3.22,26.6,37.62,21.333333333333332,1,1,0.75,16.40121928528731,-0.7943578329771954,0.6074501075707981,6,6,0.04
O46,terrace,SE,3,18,2,2,3.22,25.7,0,18,1,1,1,18.062392085118493,-0.8609265282143157,0.5087293121266409,4,6,1
O47,balcony,E,3,9,3,1,4.88,24.3,0,16,1,2,1,0,0.6782801027330664,0.7348034446274874,4,3,1
O48,courtyard,NW,3,189,3,2,3.3,25.6,18.42,68.76190476190476,2,6,0.81,0,-0.038994708880497664,0.999239417096486,22,39,0.29545454545454547
O49,balcony,NW,3,9,3,2,3.3,24.3,0,16,2,2,1,0,0.86377890152088,0.503871024457035,4,3,1
O50,terrace,W,3,18,3,1,3.3,26.1,13.42,18,1,2,1,0,0.569209979418386,0.8221921912366479,4,6,0.11363636363636363
O51,balcony,SE,3,9,3,2,3.22,24.3,0,16,1,2,1,0,0.1788854385127476,0.9838699100430413,4,3,1
O52,balcony,W,3,9,3,1,3.3,25.7,7.5,16,1,2,1,0,0.29408584924811,0.9557790085956156,4,3,0.11363636363636363
O53,balcony,SE,3,9,3,2,3.22,27,3,16,1,1,1,0,-0.4961389394183978,0.8682431415178512,4,3,0.056818181818181816
